[MoSCoW],MoSCoW
Array programming,N
Metaprogramming,C
Imperative programming,S
Language-oriented programming(LOP),N
Object-oriented programming (OOP),S
Aspect-Oriented Programming (AOP),C
Functional programming,S
Dynamic programming,C
Procedural programming,C
Generic programming,S
Reflective programming,C
Event-driven programming,S
Declarative programming,C
Non-structured programming,C
Flow-Based Programming (FBP),C
Constraint programming,C
Data-driven programming,C
Probabilistic programming,N
Debugger,S
Testing tools,S
GUI builder,C
Profiler,S
Static code analysis,S
Toolchain,S
Code coverage,S
Code refactoring,C
Package Manager,S
ORM,C
Cross platform / Multiplatform (platform-independent),S
Windows,S
Linux,S
macOS,S
Docker,S
AWS,C
Google Cloud Platform,C
Microsoft Azure,C
IBM Cloud or Watson,C
Arduino,C
Heroku,C
Kubernetes,C
Wordpress,N
Android,C
iOS,C
Web-based,N
Licensed,N
Open source,S
Front-end,N
Back-end,N
Full-stack,N
Interpreter,C
Compiler,S
Bytecode,C
General-Purpose PL,S
Domain-Specific PL,N
socket programming,S
support threading,S
Software Architecture Patterns,S
Software Architecture Design Patterns,S
Open source compiler/interpreter ,S
Free implementation of the core libraries,S
Design and Engineering Software,N
Interactive System,S
Compiler Design,S
Case & Related Developer Tools,N
Commercial-Off-The-Shelf (Cots),N
Data Base Systems,S
Distributed Computing,N
Distributed Systems,S
Cloud Computing Applications,C
Mobile Applications,C
Web Applications / Services,N
Web-Based Systems,S
Web Services,S
Service-Based Systems,C
Systems Software,N
Operating Systems,N
Network and Communication Systems,N
Multi-Processors Environment,N
Plug-and-Play Environment,N
Information Management and Decision Support Systems,N
Expert System,N
Management Information Systems,N
Control-Dominant Software,N
Embedded Systems,S
Real-Time Systems,S
Internet Of Things (Iots),C
Computation-Dominant Software,N
Speech Recognition,N
Signal Processing,N
Pattern Recognition,C
Data-Dominant Software,N
File-Sharing Applications,C
Exchange Data And Information,C
Games / Entertainment,N
Gaming Systems,N
Transaction Processing,N
Banking System,N
Maintainability,S
Popularity in the market,S
Reusability,S
Maturity level,S
Scalability,S
comprehensive consistent documentation,S
Accessible and friendly community,S
Human Resource Availability (Developers),N
self-documenting (or self-describing) syntax,S
simple and concise syntax,S
easy to write new code,S
easy to read existing code,S
easy to reuse existing code,S
