[FA],House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12,House 13,House 14,House 15,House 16,House 17,House 18,House 19,House 20,House 21,House 22,House 23,House 24,House 25
Near by,,,,,,,,,,,,,,,,,,,,,,,,,
Utrecht centraal,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,
Zwolle centraal,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,1,
Amsterdam centraal,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,1
Rotterdam centraal,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
Rental cost,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 300 EUR,1,,,,,,,1,,,,,,,,,,,,,,,,,1
Less than 500 EUR,,1,,,,,,,1,,,,,,,,,1,,,,,,,
Less than 700 EUR,,,1,,,,,,,,,,,,,,,,,,,,1,1,
Less than 1000 EUR,,,,1,,,,,,1,1,,,,,1,1,,,,,1,,,
Less than 1200 EUR,,,,,1,,,,,,,1,,,,,,,1,1,1,,,,
Less than 1500 EUR,,,,,,1,,,,,,,1,1,1,,,,,,,,,,
Less than 2000 EUR,,,,,,,1,,,,,,,,,,,,,,,,,,
Suitability,,,,,,,,,,,,,,,,,,,,,,,,,
Suitable for students,1,,,,,,,,1,,,1,,1,,1,,1,,1,1,1,1,1,
Suitable only for one person,1,1,1,1,1,1,1,,,1,1,,,1,1,,1,,,1,,,,,1
Suitable only for a couple,,1,1,,,,1,1,,,,1,1,1,,1,,1,,1,,,,,1
Suitable only for a a family,,1,1,,,,,1,,1,1,,,,1,,,1,,1,,,,,1
Type of house,,,,,,,,,,,,,,,,,,,,,,,,,
Room,1,1,1,1,,,,1,,,,,,,,,,,,1,,,,,
Studio,,,,,1,,,,,1,,1,1,1,,,,,1,,1,,,,1
Apartment,,,,,,,1,,1,,,,,,1,,,1,,,,1,,1,
Flat,,,,,,1,,,,,1,,,,,1,1,,,,,,1,,
Living space,,,,,,,,,,,,,,,,,,,,,,,,,
11 to 25 sq meters,1,1,1,,,,,,1,,,,,,1,,,,,,1,,,,
25 to 50 sq meters,,,,1,,,,1,,1,,,,1,,1,,,,1,,1,,,
50 to 75 sq meters,,,,,1,,1,,,,1,,1,,,,1,,1,,,,1,,1
more than 75 sq meters,,,,,,1,,,,,,1,,,,,,1,,,,,,1,
Years of construction,,,,,,,,,,,,,,,,,,,,,,,,,
Less than 5 years,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
Less than 10 years,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,
Less than 20 years,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1
Less than 50 years,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,
Facilities,,,,,,,,,,,,,,,,,,,,,,,,,
Separated bathroom,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Balcony,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Garden,,1,,,1,1,,,,1,,,1,,1,,,1,,,,,1,,1
Pet is allowed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Location Type,,,,,,,,,,,,,,,,,,,,,,,,,
Has a parking,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
Near to city center,1,1,1,,1,1,,,1,,,1,,,,1,,,,,,,,,
Near to a public bus station,,1,,,,1,,1,,,,1,,,,,,1,,1,,1,,,1
Near to a train station,,1,1,,,,,,1,,,,,,1,,,1,,1,,,1,,
Near to a gym,,1,,,,,1,,,,1,,1,,,,,,,1,,,,,
Near to a church,,1,,,1,,,,1,,1,,,,1,,,1,,,,1,,1,
Near to a mosque,1,,,1,1,,,1,,1,,1,,1,,1,,1,,1,,,1,,
Near to a shopping center,1,,,1,,,1,,,,1,,,,1,,,,1,,,1,,,1
Near to a supermarket,1,,,,1,,,1,,1,,,1,,,1,,1,,,1,,1,,
