[SF],Quality-Expressiveness,Quality-Arbitrariness,Quality-Formality,Quality-Suitability,Quality-Understandability,Quality-Completeness,Quality-Efficiency,Quality-Effectiveness (scope),Quality-Complexity,Quality-Ease of Use,Quality-Flexibility/Modularity,Quality-Portability/Compatability,Quality-Tool support,Quality-Learnability,Quality-Maturity,Quality-Enactability,Quality-Innovation Inducer,Quality-Reusability,Quality-(Implementation)Cost,Quality-Scalability,Quality-Adaptability,Quality-Replaceability,Quality-Granularity,Quality-Support,Quality-Positioning and Strength,[Description]
Communication,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Whether the technique facilitates understanding- communicating or describing a process
Analysis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Whether the technique facilitates the analyzing (and improving) of a process
Enaction,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Whether the technique facilitates the execution of a process- and/or is generally used with the aim of creating executable models
Control,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Whether the technique facilitates the and/or is generally used for the managing and monitoring of a process
Functional,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,What process elements / Functional dependencies between process elements (activities- subprocesses- etcetera)
Dynamic/behavioural,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,When and how activities are performed
Informational/resource,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Data (entities) produced or manipulated by a process- and their relationships. In other words- the structure of informational entities
Organizational,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Where and by whom activities are performed- both functionally and physically.
General-purpose ML,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,Language is designed to be used for modeling the widest variety of application domains
Textual,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The language notation is textual
Graphical/Diagrammical,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,The language notation is graphical
Tabular,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Textual but with predefined tabular structure (often for natural language description of processes).
Mathematical,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Graphical highly formal semtantics based on formal logic. Modeling requires knowledge about math and/or logic.
Imperative,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Whether the language allows for for imperative modeling: Procedural. Processes with a clear start and clear end (state). E.g. workflows.
Declarative,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Whether the language allows for declarative modeling: Knowledge intensive- no clear start to end and many variatons possible (variations not all known in advance). For declarative approaches you define the boundaries and anything within the boundaries is possible.
Control flow/Sequence,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Whether the language allows for the modeling of an order in which tasks are to be executed. In other words- whether the language includes a concept of time
Information flow/Message flow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whether the messages and their flow can be modeled
Data flow,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Whether the language explicitly allows for the modeling of the flow of data
Inclusive choice (OR),1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language contains the OR construct
Exclusive choice (XOR),1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Whether the language contains the XOR construct
Parallelism (AND),1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language contains the AND construct- e.g. Flowchart does not have this
Input,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for the modeling process input. Typically- these are resources referenced and/or consumed by activities/tasks/functions
Output,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for the modeling of deliverables or output- e.g. the creation of a document
External entities,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Whether the language allows for the explicit modeling of external entities that perform a certain process element
Agent (Roles/Entities),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether the language allows for the explicit modeling of actors- roles and organizational units that perform a certain process element. An entity is a definable thing- such as a person object concept or event- that can have data stored about it
Duration,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Whether there is a construct to depict duration- represent a time span- the passage of time- or a specific point in time (e.g. a day of the week)
Deadline,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether there is a construct to depict the time period within activities or tasks have to be carried out
Business rules,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether language allows for the modeling of business rules
Business goals,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Whether language allows for the explicit modeling of business goals (note: a final state is not considered a process goal for this feature)
Annotation,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Whether language allows for textual annotation in addition the graphical representation of a process. Textual annotation can be used to provide additional details about a process element- that otherwise could not be depicted.
Task/Activity,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Whether the language has a ""task"" or ""activity"" construct "
Event/Trigger,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Whether the language has an ""event"" construct. An event is an occurance that takes place at a specific point in time- and that is capable of inducing some behaviour (e.g. acitivity or process)"
Mappability,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,Whether the language has a formal specification for mapping to an Executable Business Process (Modeling) Language
Standardized file format,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,Whether the language has a standard file format specified
PNML,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Petri Net Markup Language- XML-based interchange format for Petri Net files
XSD (XML Schema Definition),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Defines what elements and attributes may appear in XML document
XMI (XML Metadata Interchange),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,File format used to store model design information in standard XML format
Yawl-XML,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,YAWL-XML- file format specifically used for yawl files
EPML,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,EPC Markup Language- neutral interchange format that facilitates interchange of EPC business process models
XML,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Extensible Markup Language: a set of codes or tags that describes the text in a digital document. More broad than XSD and XMI
