[SF],QA:Expressiveness,QA:Arbitrariness,QA:Formality,QA:Suitability,QA:Understandability,QA:Completeness,QA:Efficiency,QA:Effectiveness (scope),QA:Complexity,QA:Ease of Use,QA:Flexibility/Modularity,QA:Portability/Compatability,QA:Tool support,QA:Learnability,QA:Maturity,QA:Enactability,QA:Innovation Inducer,QA:Reusability,QA:(Implementation)Cost,QA:Scalability,QA:Adaptability,QA:Replaceability,QA:Granularity,QA:Support,QA:Positioning and Strength,[Definition]
Communication,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Whether the technique facilitates understanding[COMMA] communicating or describing a process
Analysis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Whether the technique facilitates the analyzing (and improving) of a process
Enaction,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,Whether the technique facilitates the execution of a process[COMMA] and/or is generally used with the aim of creating executable models
Control,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Whether the technique facilitates the and/or is generally used for the managing and monitoring of a process
Functional,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,What process elements / Functional dependencies between process elements (activities[COMMA] subprocesses[COMMA] etcetera)
Dynamic/Behavioural,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,When and how activities are performed
Informational/Resource,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Data (entities) produced or manipulated by a process[COMMA] and their relationships. In other words[COMMA] the structure of informational entities
Organizational,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Where and by whom activities are performed[COMMA] both functionally and physically.
General-purpose ML,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,Language is designed to be used for modeling the widest variety of application domains
Textual,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The language notation is textual
Graphical/Diagrammical,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,The language notation is graphical
Tabular,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Textual but with predefined tabular structure (often for natural language description of processes).
Mathematical,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Graphical highly formal semtantics based on formal logic. Modeling requires knowledge about math and/or logic.
Imperative,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Whether the language allows for for imperative modeling: Procedural. Processes with a clear start and clear end (state). E.g. workflows.
Declarative,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Whether the language allows for declarative modeling: Knowledge intensive[COMMA] no clear start to end and many variatons possible (variations not all known in advance). For declarative approaches you define the boundaries and anything within the boundaries is possible.
